author,gender,birth_place,ethnicity,movement,education,notable_works,wiki_genre,awards,DOB,DOD,in_links,categories,summaries,average_rating,number_of_ratings,number_of_reviews,genre1,genre2,genre3
Patricia Aakhus,female,Los Angeles,Not Known,Not Known,"['Norwich University', 'University of California, Santa Cruz']",Not Known,Not Known,Not Known,1952,2012,[],"['20th-century American novelists', '20th-century American women writers', 'American women novelists', 'Novelists from Indiana', 'Writers from Los Angeles']","Patricia ""Patty"" Aakhus (May 17, 1952 ‚Äì May 16, 2012), also known by her maiden name and pseudonym, Patricia McDowell, was an American novelist and director of International Studies at the University of Southern Indiana. She specialized in Irish themes and won Readercon's Best Imaginative Literature Award in 1990 and the Cahill Award for The Voyage of Mael Duin's Curragh.",3.91,11,1,N/A,N/A,N/A
Atia Abawi,female,West Germany,Not Known,Not Known,['Virginia Tech'],Not Known,Not Known,Not Known,1982,Alive,[],"['21st-century American non-fiction writers', '21st-century American novelists', '21st-century American women writers', 'American women non-fiction writers', 'American women novelists']","Atia Abawi is an American author and television journalist. Previously working for NBC News and CNN as a foreign correspondent. She was based in Kabul, Afghanistan for almost five years. Her first book, the critically acclaimed ""The Secret Sky: A Novel of Forbidden Love in Afghanistan"" was published by Penguin Random House in September 2014. Abawi is known for her strong support for female empowerment in both her writing and reporting. She is fluent in Dari and is a graduate of Virginia Polytechnic Institute and State University",4.07,"3,984",951,Young Adult,Contemporary,Fiction
Edward Abbey,male,Home,Not Known,Environmentalism,"['University of Edinburgh', 'University of New Mexico', 'University of New Mexico', 'Yale University', 'University of Pennsylvania']","['The Monkey Wrench Gang', 'Desert Solitaire']",essay,['Guggenheim Fellowship'],1927,1989,"['Dalton Trumbo', 'Louisa May Alcott', 'Wendell Berry']","['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'American nature writers', 'American non-fiction environmental writers', 'American political writers', 'Anarchist writers', 'Environmental fiction writers', 'Novelists from Pennsylvania']","Edward Paul Abbey (January 29, 1927 ‚Äì March 14, 1989) was an American author, essayist, and anarchist, noted for his advocacy of environmental issues and criticism of public land policies. His best-known works include Desert Solitaire, a non-fiction autobiographical account of his time as a park ranger at Arches National Park considered to be an iconic work of nature writing and a staple of early environmentalist writing; the novel The Monkey Wrench Gang, which has been cited as an inspiration by environmentalists and groups defending nature by various means, also called eco-warriors; his novel Hayduke Lives!; and his essay collections Down the River (with Henry Thoreau & Other Friends) (1982) and One Life at a Time, Please (1988).

",4.11,"89,083","5,675",Fiction,Travel,Memoir
Lynn Abbey,female,Peekskill,Not Known,Not Known,['University of Rochester'],Not Known,fantasy,Not Known,1948,Alive,['Robert Asprin'],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American book editors', 'American fantasy writers', 'American science fiction writers', 'American women novelists', 'Women science fiction and fantasy writers']","Marilyn Lorraine ""Lynn"" Abbey (born September 18, 1948) is an American fantasy author.",3.83,"40,538",926,Science Fiction & Fantasy,N/A,N/A
Belle Kendrick Abbott,female,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1842,1893,[],"['19th-century American novelists', '19th-century American women writers', 'American novelist, 19th-century birth stubs', 'American women novelists', 'Novelists from Georgia (U.S. state)', 'Writers from Atlanta']","Isabella ""Belle"" Kendrick Abbott (November 3, 1842 ‚Äì December 27, 1893) was an American author from the Deep South, whose only published novel, Leah Mordecai, was issued in 1875.
A native of Atlanta, she married Benjamin F. Abbott, and lived for many years on Peachtree Street, between Cain Street (subsequently renamed International Boulevard) and Harris Street.",4,1,0,N/A,N/A,N/A
Eleanor Hallowell Abbott,female,Cambridge,Not Known,Not Known,"['Radcliffe College', 'Harvard University']",Not Known,Not Known,Not Known,1872,1958,[],"['20th-century American novelists', '20th-century American women writers', ""American children's writers"", ""American women children's writers"", 'American women novelists', 'Novelists from Massachusetts', 'Novelists from New Hampshire', 'Writers from Cambridge, Massachusetts']","Eleanor Hallowell Abbott (Mrs. Fordyce Coburn) (September 22, 1872 ‚Äì June 4, 1958) was a nationally recognized American author. She was a frequent contributor to The Ladies' Home Journal.",3.53,527,118,Romance,N/A,N/A
Hailey Abbott,female,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1950,Alive,[],"['21st-century American novelists', '21st-century American women writers', 'American romantic fiction novelists', 'American women novelists', 'Women romantic fiction writers']","Hailey Abbott is an American author of teenage romance novels. She grew up in southern California where she split her time between creative writing and the beach. She now lives in New York City.Her first book was Summer Boys, published in 2004, the first of a series. It was described as ""escapist beach reading"" by the School Library Journal.",3.76,"40,159","1,438",Young Adult,Romance,Contemporary
Megan Abbott,female,Detroit,Not Known,Not Known,"['University of Michigan', 'New York University']",Not Known,Not Known,['Edgar Awards'],1971,Alive,['Jeffrey Eugenides'],"['21st-century American non-fiction writers', '21st-century American novelists', '21st-century American women writers', 'American crime fiction writers', 'American mystery novelists', 'American women non-fiction writers', 'American women novelists', 'Novelists from Michigan', 'Women mystery writers', 'Writers from Detroit']","Megan Abbott (born August 21, 1971) is an American author of crime fiction and of a non-fiction analysis of hardboiled crime fiction. Her novels and short stories have drawn from and re-worked classic subgenres of crime writing, from a female perspective. She is also an American writer and producer of television.

",3.39,"154,640","18,834",Mystery & Thrillers,Fiction,Nonfiction
Shana Abé,female,Texas,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Alive,[],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American historical novelists', 'American romantic fiction novelists', 'American women novelists', 'Women historical novelists', 'Women romantic fiction writers', 'Writers of historical fiction set in the Middle Ages']",Shana Ab√© is an American author of romance novels.  She is a past winner of the Romantic Times Career Achievement Award and has won numerous Romantic Times Reviewers' Choice Awards.,3.77,"26,359","2,758",Historical Fiction,Romance,Fantasy
Louise Abeita,female,Isleta Pueblo,Pueblo,Not Known,Not Known,Not Known,Not Known,Not Known,1926,2014,[],"['20th-century American women writers', 'Native American women writers', 'Writers from New Mexico']","Louise Abeita Chewiwi (E-Yeh-Shure or Blue Corn) (September 9, 1926 ‚Äì July 21, 2014), was a Puebloan writer, poet, and educator, who was an enrolled member of Isleta Pueblo.",N/A,N/A,N/A,N/A,N/A,N/A
Robert H. Abel,male,Painesville,Not Known,Not Known,"['University of Massachusetts Amherst', 'College of Wooster', 'Kansas State University']",Not Known,Not Known,Not Known,1941,2017,[],"['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', 'American male novelists', 'American male short story writers']","Robert Halsall Abel (born May 27, 1941 in Painesville, Ohio, died April 14, 2017 in Hadley, Massachusetts) was an American short story writer, and novelist.",3,7,1,N/A,N/A,N/A
Aberjhani,male,Savannah,African American,Not Known,['Temple University'],['Encyclopedia of the Harlem Renaissance'],Not Known,Not Known,1957,Alive,"['Alice Walker', ""Flannery O'Connor"", 'Henry Miller', 'Margaret Walker', 'Toni Morrison', 'Zora Neale Hurston']","['21st-century American novelists', '21st-century American short story writers', 'African-American novelists', 'American book editors', 'American male novelists', 'American male short story writers', 'American political writers', 'Mythopoeic writers', 'Novelists from Georgia (U.S. state)', 'Writers from Savannah, Georgia']","Aberjhani (born Jeffery J. Lloyd July 8, 1957, in Savannah, Georgia) is an American historian, columnist, novelist, poet, artist, and editor. Although well known for his blog articles on literature and politics, he is perhaps best known as co-author of Encyclopedia of the Harlem Renaissance and author of The River of Winged Dreams. The encyclopedia won a Choice Academic Title Award in 2004.",4.34,165,30,Literature & Fiction,History,Biographies & Memoirs
Walter Abish,male,Vienna,Not Known,Not Known,Not Known,Not Known,Not Known,"['Guggenheim Fellowship', 'MacArthur Fellows Program', 'AAAS Fellow']",1931,Alive,['John Updike'],"['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', 'American male novelists', 'American male short story writers', 'Novelists from Connecticut', 'Novelists from Massachusetts', 'Novelists from New York (state)', 'Writers from Vienna']","Walter Abish (born December 24, 1931) is an Austrian-American author of experimental novels and short stories. He was awarded an MacArthur Fellowship in 1987.

",3.75,"1,040",123,Literature & Fiction,Short Stories,N/A
