from,to
Edward Abbey,Dalton Trumbo
Edward Abbey,Louisa May Alcott
Edward Abbey,Wendell Berry
Lynn Abbey,Robert Asprin
Megan Abbott,Jeffrey Eugenides
Aberjhani,Alice Walker
Aberjhani,Flannery O'Connor
Aberjhani,Henry Miller
Aberjhani,Margaret Walker
Aberjhani,Toni Morrison
Aberjhani,Zora Neale Hurston
Walter Abish,John Updike
Abiola Abrams,Alice Walker
Abiola Abrams,Edwidge Danticat
Kathy Acker,Erica Jong
Kathy Acker,Gertrude Stein
Kathy Acker,Mark Twain
Kathy Acker,Nathaniel Hawthorne
Kathy Acker,William Gibson
Kathy Acker,William S. Burroughs
Cherry Adair,Nora Roberts
Alice Adams,Alison Lurie
Alice Adams,Anne Lamott
Alice Adams,Carolyn See
Alice Adams,Diane Johnson
Alice Adams,Ella Leffland
Alice Adams,John Updike
Alice Adams,Joyce Carol Oates
Alice Adams,Mary Gaitskill
Alice Adams,Mary McCarthy
Alice Adams,Norman Mailer
Henry Adams,Edward Eggleston
Henry Adams,Hamlin Garland
George Ade,Booth Tarkington
George Ade,Mark Twain
Warren Adler,Mario Puzo
Warren Adler,William Styron
James Agee,A. B. Guthrie Jr.
James Agee,Adam Johnson
James Agee,Alice Walker
James Agee,Alison Lurie
James Agee,Allen Drury
James Agee,Andrew Sean Greer
James Agee,Anne Tyler
James Agee,Annie Proulx
James Agee,Bernard Malamud
James Agee,Booth Tarkington
James Agee,Carol Shields
James Agee,Caroline Pafford Miller
James Agee,Colson Whitehead
James Agee,Conrad Richter
James Agee,Cormac McCarthy
James Agee,Davis Grubb
James Agee,Donna Tartt
James Agee,Edith Wharton
James Agee,Edna Ferber
James Agee,Edward P. Jones
James Agee,Edwin O'Connor
James Agee,Elizabeth Strout
James Agee,Ellen Glasgow
James Agee,Ernest Hemingway
James Agee,Ernest Poole
James Agee,Eudora Welty
James Agee,Geraldine Brooks
James Agee,H. L. Davis
James Agee,Harper Lee
James Agee,Herman Wouk
James Agee,James A. Michener
James Agee,James Gould Cozzens
James Agee,Jane Smiley
James Agee,Jean Stafford
James Agee,Jeffrey Eugenides
James Agee,Jennifer Egan
James Agee,Jhumpa Lahiri
James Agee,John Cheever
James Agee,John Hersey
James Agee,John Kennedy Toole
James Agee,John P. Marquand
James Agee,John Steinbeck
James Agee,John Updike
James Agee,Josephine Winslow Johnson
James Agee,Julia Peterkin
James Agee,Katherine Anne Porter
James Agee,Larry McMurtry
James Agee,Louis Bromfield
James Agee,Louise Erdrich
James Agee,MacKinlay Kantor
James Agee,Margaret Ayer Barnes
James Agee,Margaret Mitchell
James Agee,Margaret Wilson
James Agee,Marilynne Robinson
James Agee,Marjorie Kinnan Rawlings
James Agee,Martin Flavin
James Agee,Michael Chabon
James Agee,Michael Cunningham
James Agee,Michael Shaara
James Agee,N. Scott Momaday
James Agee,Norman Mailer
James Agee,Oliver La Farge
James Agee,Oscar Hijuelos
James Agee,Paul Harding
James Agee,Pearl S. Buck
James Agee,Philip Roth
James Agee,Richard Ford
James Agee,Richard Powers
James Agee,Richard Russo
James Agee,Robert Lewis Taylor
James Agee,Robert Olen Butler
James Agee,Robert Penn Warren
James Agee,Saul Bellow
James Agee,Shirley Ann Grau
James Agee,Sinclair Lewis
James Agee,Stephen Crane
James Agee,Steven Millhauser
James Agee,T. S. Stribling
James Agee,Thornton Wilder
James Agee,Toni Morrison
James Agee,Upton Sinclair
James Agee,Wallace Stegner
James Agee,Willa Cather
James Agee,William Faulkner
James Agee,William Kennedy
James Agee,William Styron
Charlotte Agell,Cormac McCarthy
Charlotte Agell,Stephen King
Conrad Aiken,Henry James
Conrad Aiken,Howard Nemerov
Conrad Aiken,James Dickey
Conrad Aiken,Maxine Kumin
Conrad Aiken,Randall Jarrell
Conrad Aiken,Robert Penn Warren
Mitch Albom,Amy Tan
Mitch Albom,Ridley Pearson
Mitch Albom,Scott Turow
Mitch Albom,Stephen King
Louisa May Alcott,Charlotte Perkins Gilman
Louisa May Alcott,Edgar Allan Poe
Louisa May Alcott,Edith Wharton
Louisa May Alcott,Eudora Welty
Louisa May Alcott,Harriet Beecher Stowe
Louisa May Alcott,Lydia Maria Child
Louisa May Alcott,Nathaniel Hawthorne
Louisa May Alcott,Pearl S. Buck
Louisa May Alcott,Willa Cather
Louisa May Alcott,Zora Neale Hurston
Thomas Bailey Aldrich,Bayard Taylor
Thomas Bailey Aldrich,Charles W. Chesnutt
Thomas Bailey Aldrich,Francis Marion Crawford
Thomas Bailey Aldrich,Harriet Beecher Stowe
Thomas Bailey Aldrich,Henry James
Thomas Bailey Aldrich,Mark Twain
Thomas Bailey Aldrich,William Dean Howells
Lloyd Alexander,Andre Norton
Lloyd Alexander,Avram Davidson
Lloyd Alexander,Carol Emshwiller
Lloyd Alexander,Chelsea Quinn Yarbro
Lloyd Alexander,Frank Belknap Long
Lloyd Alexander,Fritz Leiber
Lloyd Alexander,Gene Wolfe
Lloyd Alexander,George R. R. Martin
Lloyd Alexander,Gertrude Stein
Lloyd Alexander,Jack Finney
Lloyd Alexander,Jack Vance
Lloyd Alexander,Jack Williamson
Lloyd Alexander,John Crowley
Lloyd Alexander,Karen Joy Fowler
Lloyd Alexander,L. Sprague de Camp
Lloyd Alexander,Madeleine L'Engle
Lloyd Alexander,Manly Wade Wellman
Lloyd Alexander,Marion Zimmer Bradley
Lloyd Alexander,Mark Twain
Lloyd Alexander,Peter S. Beagle
Lloyd Alexander,Peter Straub
Lloyd Alexander,Philip José Farmer
Lloyd Alexander,R. A. Lafferty
Lloyd Alexander,Ray Bradbury
Lloyd Alexander,Richard Matheson
Lloyd Alexander,Robert Bloch
Lloyd Alexander,Stephen King
Lloyd Alexander,Susan Rogers Cooper
Lloyd Alexander,Terry Brooks
Lloyd Alexander,Theodore Sturgeon
Lloyd Alexander,Ursula K. Le Guin
Sherman Alexie,Al Young
Sherman Alexie,Alice McDermott
Sherman Alexie,Amiri Baraka
Sherman Alexie,Ana Castillo
Sherman Alexie,Chang-Rae Lee
Sherman Alexie,Chitra Banerjee Divakaruni
Sherman Alexie,Don DeLillo
Sherman Alexie,Edwidge Danticat
Sherman Alexie,Gary Soto
Sherman Alexie,Gerald Vizenor
Sherman Alexie,Gloria Anzaldúa
Sherman Alexie,Gloria Naylor
Sherman Alexie,Isabel Allende
Sherman Alexie,J. California Cooper
Sherman Alexie,Jessica Hagedorn
Sherman Alexie,John A. Williams
Sherman Alexie,John Edgar Wideman
Sherman Alexie,Josip Novakovich
Sherman Alexie,Karen Tei Yamashita
Sherman Alexie,Leslie Marmon Silko
Sherman Alexie,Lorrie Moore
Sherman Alexie,Louise Erdrich
Sherman Alexie,Luís Alberto Urrea
Sherman Alexie,May Sarton
Sherman Alexie,Paule Marshall
Sherman Alexie,Raymond Federman
Sherman Alexie,Ronald Sukenick
Sherman Alexie,Rudolfo Anaya
Sherman Alexie,Russell Banks
Sherman Alexie,Sandra Cisneros
Sherman Alexie,Sandra Scofield
Sherman Alexie,Terry McMillan
Sherman Alexie,Toni Cade Bambara
Sherman Alexie,Toni Morrison
Sherman Alexie,Trey Ellis
Sherman Alexie,William H. Gass
Sherman Alexie,William Kennedy
"Horatio Alger, Jr.",Edward Stratemeyer
"Horatio Alger, Jr.",Harriet Beecher Stowe
"Horatio Alger, Jr.",Henry James
"Horatio Alger, Jr.",Herman Melville
"Horatio Alger, Jr.",James Fenimore Cooper
Nelson Algren,Barry Gifford
